query,runtime (ms),query_complexity,runtime_boolean,table_size,length
select distinct coursealias0advisory_requirement coursealias0enforced_requirement coursealias0name from course as coursealias0 where coursealias0department eecs and coursealias0number 595 ,8.092164993286133,1,1,11453,15
select distinct coursealias0department coursealias0name coursealias0number program_coursealias0workload program_coursealias0workload from course as coursealias0 program_course as program_coursealias0 where program_coursealias0category like mde and program_coursealias0course_id coursealias0course_id and program_coursealias0workload select min program_coursealias1workload from program_course as program_coursealias1 where program_coursealias1category like mde ,0.7722377777099609,1,0,11531,34
select distinct coursealias0department coursealias0name coursealias0number program_coursealias0workload program_coursealias0workload from course as coursealias0 inner join program_course as program_coursealias0 on program_coursealias0course_id coursealias0course_id where program_coursealias0category like mde and program_coursealias0workload select min program_coursealias1workload from program_course as program_coursealias1 where program_coursealias1category like mde ,0.5309581756591797,1,0,11531,36
select count 0 from course as coursealias0 course as coursealias1 course_offering as course_offeringalias0 course_offering as course_offeringalias1 course_prerequisite as course_prerequisitealias0 where course_offeringalias1semester course_offeringalias0semester and coursealias0course_id course_offeringalias0course_id and coursealias0department eecs and coursealias0number 281 and coursealias1course_id course_offeringalias1course_id and coursealias1department eecs and coursealias1number 370 and not coursealias1course_id course_prerequisitealias0course_id and coursealias0course_id course_prerequisitealias0pre_course_id or coursealias1course_id course_prerequisitealias0pre_course_id and coursealias0course_id course_prerequisitealias0course_id ,92.9880142211914,0,1,326457,53
select distinct coursealias0department coursealias0name coursealias0number program_coursealias0workload from course as coursealias0 inner join area as areaalias0 on coursealias0course_id areaalias0course_id inner join program_course as program_coursealias0 on program_coursealias0course_id coursealias0course_id where areaalias0area like software and program_coursealias0workload select min program_coursealias1workload from course as coursealias1 inner join program_course as program_coursealias1 on program_coursealias1course_id coursealias1course_id where coursealias1department eecs and coursealias1number 281 order by program_coursealias0workload ,1.0938644409179688,1,0,23060,56
select count instructoralias0name instructoralias0name from course as coursealias0 course_offering as course_offeringalias0 instructor as instructoralias0 offering_instructor as offering_instructoralias0 where coursealias0course_id course_offeringalias0course_id and coursealias0department eecs and coursealias0number 280 and offering_instructoralias0instructor_id instructoralias0instructor_id and offering_instructoralias0offering_id course_offeringalias0offering_id group by instructoralias0name order by count instructoralias0name desc limit 5 ,4.385232925415039,0,1,332262,42
select count 0 from course as coursealias0 course_offering as course_offeringalias0 offering_instructor as offering_instructoralias0 semester as semesteralias0 where coursealias0course_id course_offeringalias0course_id and coursealias0department eecs and coursealias0number 281 and offering_instructoralias0offering_id course_offeringalias0offering_id and semesteralias0semester wn and semesteralias0semester_id course_offeringalias0semester and semesteralias0year 2016 ,5.0868988037109375,0,1,322893,37
select count 0 from select student_recordalias0course_id from student_record as student_recordalias0 where student_recordalias0earn_credit y and student_recordalias0student_id 1 as derived_tablealias0 course as coursealias0 course_offering as course_offeringalias0 semester as semesteralias0 where coursealias0course_id course_offeringalias0course_id and coursealias0course_id not in derived_tablealias0course_id and coursealias0course_id not in select distinct course_prerequisitealias0course_id from course_prerequisite as course_prerequisitealias0 where course_prerequisitealias0pre_course_id not in derived_tablealias0course_id and coursealias0department eecs and coursealias0number 270 and semesteralias0semester su and semesteralias0semester_id course_offeringalias0semester and semesteralias0year 2016 ,5.627870559692383,1,1,163410,66
select distinct coursealias1department coursealias1name coursealias1number from course as coursealias0 course as coursealias1 course_prerequisite as course_prerequisitealias0 where coursealias0course_id course_prerequisitealias0pre_course_id and coursealias0department eecs and coursealias0number 281 and coursealias1course_id course_prerequisitealias0course_id ,0.6239414215087891,1,0,22949,27
select distinct coursealias0department coursealias0name coursealias0number from course as coursealias0 course_offering as course_offeringalias0 instructor as instructoralias0 offering_instructor as offering_instructoralias0 semester as semesteralias0 where coursealias0course_id course_offeringalias0course_id and instructoralias0name like deorio and offering_instructoralias0instructor_id instructoralias0instructor_id and offering_instructoralias0offering_id course_offeringalias0offering_id and semesteralias0semester fa and semesteralias0semester_id course_offeringalias0semester and semesteralias0year 2016 ,4.352092742919922,1,1,332336,43
