query,runtime (ms),db,engine
"SELECT MOVIEalias0.RELEASE_YEAR FROM MOVIE AS MOVIEalias0 WHERE MOVIEalias0.TITLE = ""The Imitation Game"" ;",438.07005882263184,imdb,mysql
"SELECT ACTORalias0.BIRTH_YEAR FROM ACTOR AS ACTORalias0 WHERE ACTORalias0.NAME = ""Benedict Cumberbatch"" ;",868.4659004211426,imdb,mysql
"SELECT ACTORalias0.NATIONALITY FROM ACTOR AS ACTORalias0 WHERE ACTORalias0.NAME = ""Christoph Waltz"" ;",845.5207347869873,imdb,mysql
SELECT MOVIEalias0.TITLE FROM MOVIE AS MOVIEalias0 WHERE MOVIEalias0.RELEASE_YEAR = 2015 ;,444.9131488800049,imdb,mysql
"SELECT ACTORalias0.NAME FROM ACTOR AS ACTORalias0 WHERE ACTORalias0.BIRTH_CITY = ""Tehran"" ;",853.7447452545166,imdb,mysql
"SELECT ACTORalias0.NAME FROM ACTOR AS ACTORalias0 WHERE ACTORalias0.NATIONALITY = ""Afghanistan"" ;",853.0519008636475,imdb,mysql
SELECT ACTORalias0.NAME FROM ACTOR AS ACTORalias0 WHERE ACTORalias0.BIRTH_YEAR = 1984 ;,962.6319408416748,imdb,mysql
"SELECT WRITERalias0.BIRTH_YEAR FROM WRITER AS WRITERalias0 WHERE WRITERalias0.NAME = ""Kevin Spacey"" ;",288.32364082336426,imdb,mysql
"SELECT ACTORalias0.BIRTH_YEAR FROM ACTOR AS ACTORalias0 WHERE ACTORalias0.NAME = ""actor_name0"" ;",887.7642154693604,imdb,mysql
"SELECT DIRECTORalias0.BIRTH_YEAR FROM DIRECTOR AS DIRECTORalias0 WHERE DIRECTORalias0.NAME = ""director_name0"" ;",230.2267551422119,imdb,mysql
"SELECT PRODUCERalias0.BIRTH_YEAR FROM PRODUCER AS PRODUCERalias0 WHERE PRODUCERalias0.NAME = ""producer_name0"" ;",408.9012145996094,imdb,mysql
"SELECT WRITERalias0.BIRTH_CITY FROM WRITER AS WRITERalias0 WHERE WRITERalias0.NAME = ""Kevin Spacey"" ;",294.85106468200684,imdb,mysql
