query,runtime (ms),db,engine
SELECT BUSINESSalias0.NAME FROM BUSINESS AS BUSINESSalias0 WHERE BUSINESSalias0.RATING > 4.5 ;,55.692195892333984,yelp,mysql
SELECT BUSINESSalias0.NAME FROM BUSINESS AS BUSINESSalias0 WHERE BUSINESSalias0.RATING = 3.5 ;,34.40213203430176,yelp,mysql
"SELECT USERalias0.USER_ID FROM USER AS USERalias0 WHERE USERalias0.NAME = ""Michelle"" ;",101.72605514526367,yelp,mysql
"SELECT BUSINESSalias0.STATE FROM BUSINESS AS BUSINESSalias0 WHERE BUSINESSalias0.NAME = ""Whataburger"" ;",12.228250503540039,yelp,mysql
"SELECT BUSINESSalias0.CITY FROM BUSINESS AS BUSINESSalias0 , CATEGORY AS CATEGORYalias0 WHERE BUSINESSalias0.NAME = ""MGM Grand Buffet"" AND CATEGORYalias0.BUSINESS_ID = BUSINESSalias0.BUSINESS_ID AND CATEGORYalias0.CATEGORY_NAME = ""restaurant"" ;",45.44687271118164,yelp,mysql
SELECT BUSINESSalias0.CITY FROM BUSINESS AS BUSINESSalias0 WHERE BUSINESSalias0.RATING < 1.5 ;,20.920991897583008,yelp,mysql
"SELECT BUSINESSalias0.CITY FROM BUSINESS AS BUSINESSalias0 WHERE BUSINESSalias0.NAME = ""Taj Mahal"" ;",12.747049331665039,yelp,mysql
SELECT REVIEWalias0.TEXT FROM REVIEW AS REVIEWalias0 WHERE REVIEWalias0.RATING < 1 ;,872.7278709411621,yelp,mysql
"SELECT BUSINESSalias0.NAME FROM BUSINESS AS BUSINESSalias0 , CATEGORY AS CATEGORYalias0 WHERE BUSINESSalias0.RATING > 3.5 AND CATEGORYalias0.BUSINESS_ID = BUSINESSalias0.BUSINESS_ID AND CATEGORYalias0.CATEGORY_NAME = ""restaurant"" ;",29.936790466308594,yelp,mysql
"SELECT BUSINESSalias0.CITY FROM BUSINESS AS BUSINESSalias0 , CATEGORY AS CATEGORYalias0 WHERE BUSINESSalias0.NAME = ""Taj Mahal"" AND CATEGORYalias0.BUSINESS_ID = BUSINESSalias0.BUSINESS_ID AND CATEGORYalias0.CATEGORY_NAME = ""restaurant"" ;",44.814109802246094,yelp,mysql
"SELECT REVIEWalias0.TEXT FROM REVIEW AS REVIEWalias0 , USER AS USERalias0 WHERE USERalias0.NAME = ""Niloofar"" AND USERalias0.USER_ID = REVIEWalias0.USER_ID ;",1010.2951526641846,yelp,mysql
